actorvist;actor;activist;0;CookWordSpy;
adhocracy;ad hoc;bureaucracy;0;CookWordSpy;
adultescent;adult;adolescent;0;CookWordSpy;
adulticide;adult;pesticide;0;CookWordSpy;
advergame;advertise;game;0;CookWordSpy;
advermation;advertise;information;0;CookWordSpy;
advertecture;advertise;architecture;0;CookWordSpy;
aerotropolis;aeroport;metropolis;0;CookWordSpy;
affluenza;affluent;influenza;0;CookWordSpy;
aftcast;aft;forecast;0;CookWordSpy;
agrimation;agriculture;automation;0;CookWordSpy;
agritourist;agriculture;tourist;0;CookWordSpy;
alcopop;alcohol;pop;0;CookWordSpy;
anacronym;anachronistic;acronym;0;CookWordSpy;
anecdata;anecdotal;data;0;CookWordSpy;
apitherapy;apian;therapy;0;CookWordSpy;
approximeet;approximate;meet;0;CookWordSpy;
aptagram;apt;anagram;0;CookWordSpy;
architourist;architecture;tourist;0;CookWordSpy;
bacronym;back;acronym;0;CookWordSpy;
banalysis;banal;analysis;0;CookWordSpy;
barkitecture;bark;architecture;0;CookWordSpy;
beersicle;beer;popsicle;0;CookWordSpy;
beerware;beer;software;0;CookWordSpy;
beforemath;before;aftermath;0;CookWordSpy;
bigature;big;miniature;0;CookWordSpy;
bio-mom;biological;mom;0;CookWordSpy;
bionomics;biology;economics;0;CookWordSpy;
biostitute;biologist;prostitute;0;CookWordSpy;
biotecture;biology;architecture;0;CookWordSpy;
bioterrorist;biological weapons;terrorist;0;CookWordSpy;
bitcom;bit;sitcom;0;CookWordSpy;
bitleg;bit;bootleg;0;CookWordSpy;
blamestorm;blame;brainstorm;0;CookWordSpy;
blandiose;bland;grandiose;0;CookWordSpy;
blobject;blob;object;0;CookWordSpy;
blogebrity;blog;celebrity;0;CookWordSpy;
bonkbuster;bonk;blockbuster;0;CookWordSpy;
boomburb;boom;suburb;0;CookWordSpy;
brandalism;brand;vandalism;0;CookWordSpy;
brandscape;brand;landscape;0;CookWordSpy;
brandwidth;brand;bandwidth;0;CookWordSpy;
broccoflower;broccoli;cauliflower;0;CookWordSpy;
buckraker;buck;muckraker;0;CookWordSpy;
bullycide;bully;suicide;0;CookWordSpy;
bungaloft;bungalow;loft;0;CookWordSpy;
buttlegging;butt;bootlegging;0;CookWordSpy;
camikini;camisole;bikini;0;CookWordSpy;
camouflanguage;camouflage;language;0;CookWordSpy;
cankle;calf;ankle;0;CookWordSpy;
car-school;car-pool;school;0;CookWordSpy;
carbage;car;garbage;0;CookWordSpy;
carcoon;car;cocoon;0;CookWordSpy;
careware;care;software;0;CookWordSpy;
cattalo;cattle;buffalo;0;CookWordSpy;
celeblog;celebrity;blog;0;CookWordSpy;
celebreality;celebrity;reality;0;CookWordSpy;
celesbian;celebrity;lesbian;0;CookWordSpy;
chairobics;chair;aerobics;0;CookWordSpy;
chofa;chair;sofa;0;CookWordSpy;
chugger;charity;mugger;0;CookWordSpy;
churnover;churn;turnover;0;CookWordSpy;
click-wrap;click;shrink-wrap;0;CookWordSpy;
clickprint;click;finger-print;0;CookWordSpy;
clicks-and-mortar;click;bricks-and-mortar;0;CookWordSpy;
clickstream;click;jet stream;0;CookWordSpy;
co-opetition;co-operation;competition;0;CookWordSpy;
coasterware;coaster;software;0;CookWordSpy;
collaboratory;collaborate;laboratory;0;CookWordSpy;
collabulary;collaborate;vocabulary;0;CookWordSpy;
commemorabilia;commemorate;memorabilia;0;CookWordSpy;
compcierge;computer;concierge;0;CookWordSpy;
compunications;computer;communications;0;CookWordSpy;
condop;condo;co-op;0;CookWordSpy;
copicide;cop;suicide;0;CookWordSpy;
copyleft;copyright;left;0;CookWordSpy;
cosmeceutical;cosmetic;pharmaceutical;0;CookWordSpy;
cosplay;costume;play;0;CookWordSpy;
country-and-eastern;country-and-western;eastern;0;CookWordSpy;
craplet;crap;applet;0;CookWordSpy;
cremains;cremate;remains;0;CookWordSpy;
crimeware;crime;software;0;CookWordSpy;
crowdsource;crowd;outsource;0;CookWordSpy;
cutensil;cute;utensil;0;CookWordSpy;
dataveillance;data;surveillance;0;CookWordSpy;
democrazy;democracy;crazy;0;CookWordSpy;
demotheatrics;demonstration;theatrics;0;CookWordSpy;
deskfast;desk;breakfast;0;CookWordSpy;
diabesity;diabetes;obesity;0;CookWordSpy;
diff-ability;different;disability;0;CookWordSpy;
digifeiter;digital;counterfeiter;0;CookWordSpy;
directronic;direct;electronic;0;CookWordSpy;
donorcycle;donor;motorcycle;0;CookWordSpy;
doomsdate;doomsday;date;0;CookWordSpy;
dormcest;dorm;incest;0;CookWordSpy;
downaging;downsize;aging;0;CookWordSpy;
drail;drunk;email;0;CookWordSpy;
dramality;drama;reality;0;CookWordSpy;
dumbsize;dumb;downsize;0;CookWordSpy;
earball;ear;eyeball;0;CookWordSpy;
earcon;ear;icon;0;CookWordSpy;
eater-tainment;eat;entertainment;0;CookWordSpy;
ecolonomics;ecology;economics;0;CookWordSpy;
edubabble;education;babble;0;CookWordSpy;
edubabble;educational;babble;0;CookWordSpy;
entreprenerd;entrepreneur;nerd;0;CookWordSpy;
entreprenetwork;entrepreneur;network;0;CookWordSpy;
enviropig;environmental;pig;0;CookWordSpy;
ergomorphic;ergonomical;morphic;0;CookWordSpy;
ergomorphic;ergonomic;morphic;0;CookWordSpy;
evangineer;evangelic;engineer;0;CookWordSpy;
exergame;exercise;game;0;CookWordSpy;
facebase;face;database;0;CookWordSpy;
familymoon;family;honeymoon;0;CookWordSpy;
fastpack;fast;backpack;0;CookWordSpy;
fauxhawk;faux;mohawk;0;CookWordSpy;
fauxtography;faux;photography;0;CookWordSpy;
feebate;fee;rebate;0;CookWordSpy;
fiscalamity;fiscal;calamity;0;CookWordSpy;
flexecutive;flexible;executive;0;CookWordSpy;
flexicurity;flexible;security;0;CookWordSpy;
flexitarian;flexible;vegetarian;0;CookWordSpy;
flexplace;flexible;workplace;0;CookWordSpy;
floatel;float;hotel;0;CookWordSpy;
floordrobe;floor;wardrobe;0;CookWordSpy;
folksonomy;folk;taxonomy;0;CookWordSpy;
forelash;fore;backlash;0;CookWordSpy;
fratire;fraternity;satire;0;CookWordSpy;
freeconomics;free;economics;0;CookWordSpy;
freegan;free;vegan;0;CookWordSpy;
freemium;free;premium;0;CookWordSpy;
freshmore;freshman;sophomore;0;CookWordSpy;
frienemy;friend;enemy;0;CookWordSpy;
fritterware;fritter;software;0;CookWordSpy;
frontfire;front;backfire;0;CookWordSpy;
fyborg;functional;cyborg;0;CookWordSpy;
gayborhood;gay;neighborhood;0;CookWordSpy;
geeksta;geek;gangsta;0;CookWordSpy;
geofence;geographic;fence;0;CookWordSpy;
geomythology;geology;mythology;0;CookWordSpy;
get-rich-click;get-rich-quick;click;0;CookWordSpy;
giraffiti;giraffe;graffiti;0;CookWordSpy;
girlcott;girl;boycott;0;CookWordSpy;
glamp;glamour;camp;0;CookWordSpy;
globality;global;reality;0;CookWordSpy;
globesity;global;obesity;0;CookWordSpy;
